type_line0,name0,name1,oracle_text0,power1,oracle_text1,toughness0,power0,mana_cost0,type_line1,toughness1,mana_cost1
Creature — Human Monk,Abbot of Keral Keep,,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
When Abbot of Keral Keep enters the battlefield, exile the top card of your library. Until end of turn, you may play that card.",,,1,2,{1}{R},,,
Instant,Abrade,,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",,,,,{1}{R},,,
Instant,Abrupt Decay,,"This spell can't be countered.
Destroy target nonland permanent with mana value 3 or less.",,,,,{B}{G},,,
Creature — Ooze,Acidic Slime,,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.",,,2,2,{3}{G}{G},,,
Creature — Vampire Soldier,Adanto Vanguard,,"As long as Adanto Vanguard is attacking, it gets +2/+0.
Pay 4 life: Adanto Vanguard gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",,,1,1,{1}{W},,,
Artifact — Vehicle,Aethersphere Harvester,,"Flying
When Aethersphere Harvester enters the battlefield, you get {E}{E} (two energy counters).
Pay {E}: Aethersphere Harvester gains lifelink until end of turn.
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",,,5,3,{3},,,
Creature — Minotaur Warrior,Ahn-Crop Crasher,,"Haste
You may exert Ahn-Crop Crasher as it attacks. When you do, target creature can't block this turn. (An exerted creature won't untap during your next untap step.)",,,2,3,{2}{R},,,
Legendary Planeswalker — Ajani,"Ajani, Mentor of Heroes",,"+1: Distribute three +1/+1 counters among one, two, or three target creatures you control.
+1: Look at the top four cards of your library. You may reveal an Aura, creature, or planeswalker card from among them and put it into your hand. Put the rest on the bottom of your library in any order.
-8: You gain 100 life.",,,,,{3}{G}{W},,,
Legendary Planeswalker — Ajani,Ajani Vengeant,,"+1: Target permanent doesn't untap during its controller's next untap step.
-2: Ajani Vengeant deals 3 damage to any target and you gain 3 life.
-7: Destroy all lands target player controls.",,,,,{2}{R}{W},,,
Tribal Sorcery — Eldrazi,All Is Dust,,Each player sacrifices all permanents they control that are one or more colors.,,,,,{7},,,
Creature — Zombie Crocodile Demon,Ammit Eternal,,"Afflict 3 (Whenever this creature becomes blocked, defending player loses 3 life.)
Whenever an opponent casts a spell, put a -1/-1 counter on Ammit Eternal.
Whenever Ammit Eternal deals combat damage to a player, remove all -1/-1 counters from it.",,,5,5,{2}{B},,,
Legendary Creature — Spirit Soldier,"Anafenza, Kin-Tree Spirit",,"Whenever another nontoken creature enters the battlefield under your control, bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)",,,2,2,{W}{W},,,
Sorcery,Ancestral Vision,,"Suspend 4—{U} (Rather than cast this card from your hand, pay {U} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)
Target player draws three cards.",,,,,,,,
Instant,Ancient Grudge,,"Destroy target artifact.
Flashback {G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,,{1}{R},,,
Sorcery,Anger of the Gods,,"Anger of the Gods deals 3 damage to each creature. If a creature dealt damage this way would die this turn, exile it instead.",,,,,{1}{R}{R},,,
Instant,Anguished Unmaking,,Exile target nonland permanent. You lose 3 life.,,,,,{1}{W}{B},,,
Sorcery,Approach of the Second Sun,,"If this spell was cast from your hand and you've cast another spell named Approach of the Second Sun this game, you win the game. Otherwise, put Approach of the Second Sun into its owner's library seventh from the top and you gain 7 life.",,,,,{6}{W},,,
Creature — Elf Druid,Arbor Elf,,{T}: Untap target Forest.,,,1,1,{G},,,
Legendary Creature — Angel,Archangel Avacyn,"Avacyn, the Purifier","Flash
Flying, vigilance
When Archangel Avacyn enters the battlefield, creatures you control gain indestructible until end of turn.
When a non-Angel creature you control dies, transform Archangel Avacyn at the beginning of the next upkeep.",6,"Flying
When this creature transforms into Avacyn, the Purifier, it deals 3 damage to each other creature and each opponent.",4,4,{3}{W}{W},Legendary Creature — Angel,5,
Creature — Phoenix,Arclight Phoenix,,"Flying, haste
At the beginning of combat on your turn, if you've cast three or more instant and sorcery spells this turn, return Arclight Phoenix from your graveyard to the battlefield.",,,2,3,{3}{R},,,
Land,Arid Mesa,,"{T}, Pay 1 life, Sacrifice Arid Mesa: Search your library for a Mountain or Plains card, put it onto the battlefield, then shuffle.",,,,,,,,
Legendary Planeswalker — Ashiok,"Ashiok, Nightmare Weaver",,"+2: Exile the top three cards of target opponent's library.
-X: Put a creature card with mana value X exiled with Ashiok, Nightmare Weaver onto the battlefield under your control. That creature is a Nightmare in addition to its other types.
-10: Exile all cards from all opponents' hands and graveyards.",,,,,{1}{U}{B},,,
Instant,Assassin's Trophy,,"Destroy target permanent an opponent controls. Its controller may search their library for a basic land card, put it onto the battlefield, then shuffle.",,,,,{B}{G},,,
Creature — Merfolk Wizard,Augur of Bolas,,"When Augur of Bolas enters the battlefield, look at the top three cards of your library. You may reveal an instant or sorcery card from among them and put it into your hand. Put the rest on the bottom of your library in any order.",,,3,1,{1}{U},,,
Legendary Creature — Angel,"Aurelia, Exemplar of Justice",,"Flying
Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)
At the beginning of combat on your turn, choose up to one target creature you control. Until end of turn, that creature gets +2/+0, gains trample if it's red, and gains vigilance if it's white.",,,5,2,{2}{R}{W},,,
Creature — Human Monk,Avacyn's Pilgrim,,{T}: Add {W}.,,,1,1,{G},,,
Creature — Elemental,Avenger of Zendikar,,"When Avenger of Zendikar enters the battlefield, create a 0/1 green Plant creature token for each land you control.
Landfall — Whenever a land enters the battlefield under your control, you may put a +1/+1 counter on each Plant creature you control.",,,5,5,{5}{G}{G},,,
Artifact,Azorius Signet,,"{1}, {T}: Add {W}{U}.",,,,,{2},,,
Sorcery,Banefire,,"Banefire deals X damage to any target.
If X is 5 or more, this spell can't be countered and the damage can't be prevented.",,,,,{X}{R},,,
Creature — Angel,Baneslayer Angel,,"Flying, first strike, lifelink, protection from Demons and from Dragons",,,5,5,{3}{W}{W},,,
