mana_cost1,name1,type_line0,mana_cost0,type_line1,oracle_text0,name0,oracle_text1
,,Sorcery,{1}{R},,"Up to two target creatures can't block this turn.
Flashback {3}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Abandon the Post,
,,Instant,{1}{R},,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",Abrade,
,,Creature — Human Wizard,{U}{U},,"At the beginning of each player's draw step, that player may draw an additional card. If they do, spells they cast this turn cost {2} more to cast.",Academy Loremaster,
,,Creature — Wall,{2}{U},,"Defender
Whenever you cast an instant or sorcery spell, you may draw a card. If you do, discard a card. This ability triggers only once each turn.",Academy Wall,
,,Artifact Creature — Equipment Octopus,{2}{U},,"Whenever Acquisition Octopus or equipped creature deals combat damage to a player, draw a card.
Reconfigure {2} ({2}: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)",Acquisition Octopus,
,,Instant,{1}{W},,"Target creature gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",Adamant Will,
,,Creature — Phyrexian Druid,{2}{G},,"Vigilance
When Adaptive Sporesinger enters the battlefield, choose one —
• Target creature gets +2/+2 and gains vigilance until end of turn.
• Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",Adaptive Sporesinger,
,,Land,,,"{T}: Add {C}.
{T}: Add {W} or {U}. Adarkar Wastes deals 1 damage to you.",Adarkar Wastes,
,,Legendary Creature — Human Knight,{1}{W}{W},,"Vigilance
Adeline, Resplendent Cathar's power is equal to the number of creatures you control.
Whenever you attack, for each opponent, create a 1/1 white Human creature token that's tapped and attacking that player or a planeswalker they control.","Adeline, Resplendent Cathar",
,,Instant,{1}{W},,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Target creature gets +2/+2 and gains flying until end of turn.",Aerial Boost,
,,Creature — Human Soldier,{4}{W},,"Flying
When Aeronaut Cavalry enters the battlefield, put a +1/+1 counter on another target Soldier you control.",Aeronaut Cavalry,
,,Artifact — Equipment,{2},,"Equipped creature gets +1/+0 and has flying.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",Aeronaut's Wings,
,Gitaxian Mindstinger,Creature — Human Rogue,{1}{B},Creature — Phyrexian Rogue,"Deathtouch
{4}{U/P}: Transform Aetherblade Agent. Activate only as a sorcery. ({U/P} can be paid with either {U} or 2 life.)",Aetherblade Agent,"Deathtouch
Whenever Gitaxian Mindstinger deals combat damage to a player or battle, draw a card."
,,Creature — Human Wizard,{2}{U},,"When Aether Channeler enters the battlefield, choose one —
• Create a 1/1 white Bird creature token with flying.
• Return another target nonland permanent to its owner's hand.
• Draw a card.",Aether Channeler,
,,Sorcery,{3}{W},,"Choose one or both —
• Exile target artifact or creature you control, then return it to the battlefield under its owner's control.
• Return target artifact or creature card with mana value 3 or less from your graveyard to the battlefield.",Against All Odds,
,,Sorcery,{2}{B},,"Kicker {R} (You may pay an additional {R} as you cast this spell.)
Target player discards two cards. If this spell was kicked, it deals 3 damage to that player.",Aggressive Sabotage,
,,Sorcery,{2}{B},,"Choose one —
• Exile target Zombie.
• Target opponent exiles two cards from their hand.",Aim for the Head,
,,Creature — Human Cleric,{2}{W},,"Flying
When Airlift Chaplain enters the battlefield, mill three cards. You may put a Plains card or a creature card with mana value 3 or less from among the cards milled this way into your hand. If you don't, put a +1/+1 counter on Airlift Chaplain. (To mill a card, put the top card of your library into your graveyard.)",Airlift Chaplain,
,,Creature — Human Soldier,{1}{U},,{3}: Target Soldier gains flying until end of turn.,Air Marshal,
,,Legendary Planeswalker — Ajani,{1}{G}{G/W/P}{W},,"Compleated ({G/W/P} can be paid with {G}, {W}, or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)
+1: Reveal the top card of your library. If it's a creature or planeswalker card, put it into your hand. Otherwise, you may put it on the bottom of your library.
-3: Distribute three +1/+1 counters among up to three target creatures. They gain vigilance until end of turn.
-6: You get an emblem with ""Whenever you cast a creature or planeswalker spell, target opponent gets two poison counters.""","Ajani, Sleeper Agent",
,,Enchantment Creature — Goblin Warrior,{1}{R},,"Whenever a nontoken modified creature you control dies, create a 1/1 colorless Spirit creature token. (Equipment, Auras you control, and counters are modifications.)",Akki Ember-Keeper,
,,Creature — Goblin Samurai,{1}{R},,"Whenever a Samurai or Warrior you control attacks alone, you may discard a card. If you do, draw a card.",Akki Ronin,
,,Creature — Phyrexian Goblin,{R},,"{1}{R}, {T}, Sacrifice an artifact or land: Draw a card.",Akki Scrapchomper,
,,Enchantment — Aura,{R},,"Enchant artifact or creature
As long as enchanted permanent is a creature, it gets +2/+1.",Akki War Paint,
,,Creature — Phyrexian Samurai,{5}{W},,"When Alabaster Host Intercessor enters the battlefield, exile target creature an opponent controls until Alabaster Host Intercessor leaves the battlefield.
Plainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle.)",Alabaster Host Intercessor,
,,Creature — Phyrexian Cleric,{1}{W},,Lifelink,Alabaster Host Sanctifier,
,,Sorcery,{1}{R}{R},,"Cleave {4}{U}{U}{R} (You may cast this spell for its cleave cost. If you do, remove the words in square brackets.)
Take an extra turn after this one. During that turn, damage can't be prevented. [At the beginning of that turn's end step, you lose the game.]
Exile Alchemist's Gambit.",Alchemist's Gambit,
,,Instant,{U},,"Cleave {1}{U} (You may cast this spell for its cleave cost. If you do, remove the words in square brackets.)
Return target nonland permanent [you control] to its owner's hand.",Alchemist's Retrieval,
,,Instant,{1}{U},,"Casualty 1 (As you cast this spell, you may sacrifice a creature with power 1 or greater. When you do, copy this spell.)
Look at the top two cards of your library. Put one of them into your hand and the other on the bottom of your library.",A Little Chat,
